DateKey,Date,Day,DayAbbv,Month,MonthAbbv,MonthNum,Quarter,Year
20120101,2012-01-01,Sunday,Sun,January,Jan,1,1,2012
20120102,2012-01-02,Monday,Mon,January,Jan,1,1,2012
20120103,2012-01-03,Tuesday,Tue,January,Jan,1,1,2012
20120104,2012-01-04,Wednesday,Wed,January,Jan,1,1,2012
20120105,2012-01-05,Thursday,Thu,January,Jan,1,1,2012
20120106,2012-01-06,Friday,Fri,January,Jan,1,1,2012
20120107,2012-01-07,Saturday,Sat,January,Jan,1,1,2012
20120108,2012-01-08,Sunday,Sun,January,Jan,1,1,2012
20120109,2012-01-09,Monday,Mon,January,Jan,1,1,2012
20120110,2012-01-10,Tuesday,Tue,January,Jan,1,1,2012
20120111,2012-01-11,Wednesday,Wed,January,Jan,1,1,2012
20120112,2012-01-12,Thursday,Thu,January,Jan,1,1,2012
20120113,2012-01-13,Friday,Fri,January,Jan,1,1,2012
20120114,2012-01-14,Saturday,Sat,January,Jan,1,1,2012
20120115,2012-01-15,Sunday,Sun,January,Jan,1,1,2012
20120116,2012-01-16,Monday,Mon,January,Jan,1,1,2012
20120117,2012-01-17,Tuesday,Tue,January,Jan,1,1,2012
20120118,2012-01-18,Wednesday,Wed,January,Jan,1,1,2012
20120119,2012-01-19,Thursday,Thu,January,Jan,1,1,2012
20120120,2012-01-20,Friday,Fri,January,Jan,1,1,2012
20120121,2012-01-21,Saturday,Sat,January,Jan,1,1,2012
20120122,2012-01-22,Sunday,Sun,January,Jan,1,1,2012
20120123,2012-01-23,Monday,Mon,January,Jan,1,1,2012
20120124,2012-01-24,Tuesday,Tue,January,Jan,1,1,2012
20120125,2012-01-25,Wednesday,Wed,January,Jan,1,1,2012
20120126,2012-01-26,Thursday,Thu,January,Jan,1,1,2012
20120127,2012-01-27,Friday,Fri,January,Jan,1,1,2012
20120128,2012-01-28,Saturday,Sat,January,Jan,1,1,2012
20120129,2012-01-29,Sunday,Sun,January,Jan,1,1,2012
20120130,2012-01-30,Monday,Mon,January,Jan,1,1,2012
20120131,2012-01-31,Tuesday,Tue,January,Jan,1,1,2012
20120201,2012-02-01,Wednesday,Wed,February,Feb,2,1,2012
20120202,2012-02-02,Thursday,Thu,February,Feb,2,1,2012
20120203,2012-02-03,Friday,Fri,February,Feb,2,1,2012
20120204,2012-02-04,Saturday,Sat,February,Feb,2,1,2012
20120205,2012-02-05,Sunday,Sun,February,Feb,2,1,2012
20120206,2012-02-06,Monday,Mon,February,Feb,2,1,2012
20120207,2012-02-07,Tuesday,Tue,February,Feb,2,1,2012
20120208,2012-02-08,Wednesday,Wed,February,Feb,2,1,2012
20120209,2012-02-09,Thursday,Thu,February,Feb,2,1,2012
20120210,2012-02-10,Friday,Fri,February,Feb,2,1,2012
20120211,2012-02-11,Saturday,Sat,February,Feb,2,1,2012
20120212,2012-02-12,Sunday,Sun,February,Feb,2,1,2012
20120213,2012-02-13,Monday,Mon,February,Feb,2,1,2012
20120214,2012-02-14,Tuesday,Tue,February,Feb,2,1,2012
20120215,2012-02-15,Wednesday,Wed,February,Feb,2,1,2012
20120216,2012-02-16,Thursday,Thu,February,Feb,2,1,2012
20120217,2012-02-17,Friday,Fri,February,Feb,2,1,2012
20120218,2012-02-18,Saturday,Sat,February,Feb,2,1,2012
20120219,2012-02-19,Sunday,Sun,February,Feb,2,1,2012
20120220,2012-02-20,Monday,Mon,February,Feb,2,1,2012
20120221,2012-02-21,Tuesday,Tue,February,Feb,2,1,2012
20120222,2012-02-22,Wednesday,Wed,February,Feb,2,1,2012
20120223,2012-02-23,Thursday,Thu,February,Feb,2,1,2012
20120224,2012-02-24,Friday,Fri,February,Feb,2,1,2012
20120225,2012-02-25,Saturday,Sat,February,Feb,2,1,2012
20120226,2012-02-26,Sunday,Sun,February,Feb,2,1,2012
20120227,2012-02-27,Monday,Mon,February,Feb,2,1,2012
20120228,2012-02-28,Tuesday,Tue,February,Feb,2,1,2012
20120229,2012-02-29,Wednesday,Wed,February,Feb,2,1,2012
20120301,2012-03-01,Thursday,Thu,March,Mar,3,1,2012
20120302,2012-03-02,Friday,Fri,March,Mar,3,1,2012
20120303,2012-03-03,Saturday,Sat,March,Mar,3,1,2012
20120304,2012-03-04,Sunday,Sun,March,Mar,3,1,2012
20120305,2012-03-05,Monday,Mon,March,Mar,3,1,2012
20120306,2012-03-06,Tuesday,Tue,March,Mar,3,1,2012
20120307,2012-03-07,Wednesday,Wed,March,Mar,3,1,2012
20120308,2012-03-08,Thursday,Thu,March,Mar,3,1,2012
20120309,2012-03-09,Friday,Fri,March,Mar,3,1,2012
20120310,2012-03-10,Saturday,Sat,March,Mar,3,1,2012
20120311,2012-03-11,Sunday,Sun,March,Mar,3,1,2012
20120312,2012-03-12,Monday,Mon,March,Mar,3,1,2012
20120313,2012-03-13,Tuesday,Tue,March,Mar,3,1,2012
20120314,2012-03-14,Wednesday,Wed,March,Mar,3,1,2012
20120315,2012-03-15,Thursday,Thu,March,Mar,3,1,2012
20120316,2012-03-16,Friday,Fri,March,Mar,3,1,2012
20120317,2012-03-17,Saturday,Sat,March,Mar,3,1,2012
20120318,2012-03-18,Sunday,Sun,March,Mar,3,1,2012
20120319,2012-03-19,Monday,Mon,March,Mar,3,1,2012
20120320,2012-03-20,Tuesday,Tue,March,Mar,3,1,2012
20120321,2012-03-21,Wednesday,Wed,March,Mar,3,1,2012
20120322,2012-03-22,Thursday,Thu,March,Mar,3,1,2012
20120323,2012-03-23,Friday,Fri,March,Mar,3,1,2012
20120324,2012-03-24,Saturday,Sat,March,Mar,3,1,2012
20120325,2012-03-25,Sunday,Sun,March,Mar,3,1,2012
20120326,2012-03-26,Monday,Mon,March,Mar,3,1,2012
20120327,2012-03-27,Tuesday,Tue,March,Mar,3,1,2012
20120328,2012-03-28,Wednesday,Wed,March,Mar,3,1,2012
20120329,2012-03-29,Thursday,Thu,March,Mar,3,1,2012
20120330,2012-03-30,Friday,Fri,March,Mar,3,1,2012
20120331,2012-03-31,Saturday,Sat,March,Mar,3,1,2012
20120401,2012-04-01,Sunday,Sun,April,Apr,4,2,2012
20120402,2012-04-02,Monday,Mon,April,Apr,4,2,2012
20120403,2012-04-03,Tuesday,Tue,April,Apr,4,2,2012
20120404,2012-04-04,Wednesday,Wed,April,Apr,4,2,2012
20120405,2012-04-05,Thursday,Thu,April,Apr,4,2,2012
20120406,2012-04-06,Friday,Fri,April,Apr,4,2,2012
20120407,2012-04-07,Saturday,Sat,April,Apr,4,2,2012
20120408,2012-04-08,Sunday,Sun,April,Apr,4,2,2012
20120409,2012-04-09,Monday,Mon,April,Apr,4,2,2012
20120410,2012-04-10,Tuesday,Tue,April,Apr,4,2,2012
20120411,2012-04-11,Wednesday,Wed,April,Apr,4,2,2012
20120412,2012-04-12,Thursday,Thu,April,Apr,4,2,2012
20120413,2012-04-13,Friday,Fri,April,Apr,4,2,2012
20120414,2012-04-14,Saturday,Sat,April,Apr,4,2,2012
20120415,2012-04-15,Sunday,Sun,April,Apr,4,2,2012
20120416,2012-04-16,Monday,Mon,April,Apr,4,2,2012
20120417,2012-04-17,Tuesday,Tue,April,Apr,4,2,2012
20120418,2012-04-18,Wednesday,Wed,April,Apr,4,2,2012
20120419,2012-04-19,Thursday,Thu,April,Apr,4,2,2012
20120420,2012-04-20,Friday,Fri,April,Apr,4,2,2012
20120421,2012-04-21,Saturday,Sat,April,Apr,4,2,2012
20120422,2012-04-22,Sunday,Sun,April,Apr,4,2,2012
20120423,2012-04-23,Monday,Mon,April,Apr,4,2,2012
20120424,2012-04-24,Tuesday,Tue,April,Apr,4,2,2012
20120425,2012-04-25,Wednesday,Wed,April,Apr,4,2,2012
20120426,2012-04-26,Thursday,Thu,April,Apr,4,2,2012
20120427,2012-04-27,Friday,Fri,April,Apr,4,2,2012
20120428,2012-04-28,Saturday,Sat,April,Apr,4,2,2012
20120429,2012-04-29,Sunday,Sun,April,Apr,4,2,2012
20120430,2012-04-30,Monday,Mon,April,Apr,4,2,2012
20120501,2012-05-01,Tuesday,Tue,May,May,5,2,2012
20120502,2012-05-02,Wednesday,Wed,May,May,5,2,2012
20120503,2012-05-03,Thursday,Thu,May,May,5,2,2012
20120504,2012-05-04,Friday,Fri,May,May,5,2,2012
20120505,2012-05-05,Saturday,Sat,May,May,5,2,2012
20120506,2012-05-06,Sunday,Sun,May,May,5,2,2012
20120507,2012-05-07,Monday,Mon,May,May,5,2,2012
20120508,2012-05-08,Tuesday,Tue,May,May,5,2,2012
20120509,2012-05-09,Wednesday,Wed,May,May,5,2,2012
